CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,CÓDIGO DE SUPERVISOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ESV86786118,95980020140005378536,"AFI EMPLEO FONDO DE PENSIONES","MUTUACTIVOS PENSIONES, S.A., E.G.F.P.","PS CASTELLANA, 33, 28046, MADRID",,"F1936"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ESV47442991,95980020140005393086,"AGRARIO DUERO CASTILLA Y LEON, FONDO DE PENSIONES","UNION DEL DUERO, COMPAÑIA DE SEGUROS DE VIDA, S.A.","CAMINO FUENTE DE LA MORA, 5 PISO 2 BLOQUE I, 28050, Madrid",,"F0661"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ESV25238833,2138006SGKICHSTC1Y98,"AGROPECUARIA DE GUISSONA, FONDO DE PENSIONES","GVC GAESCO PENSIONES,SOCIEDAD GESTORA DE FONDOS DE PENSIONES,S.A.","C/ Doctor Ferrán, 3-5 1ª planta, 08034, Barcelona",,"F0238"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ESV78968443,9598009UVCDJ80JXHM04,"AHORRO CR II FONDO DE PENSIONES","CASER PENSIONES, ENTIDAD GESTORA DE FONDOS DE PENSIONES S.A.","AV BURGOS, 109, 28050, Madrid",,"F0086"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ESV78963576,959800D6SYPWHA62DY28,"AHORRO CR III FONDO DE PENSIONES","CASER PENSIONES, ENTIDAD GESTORA DE FONDOS DE PENSIONES S.A.","AV BURGOS, 109, 28050, Madrid",,"F0050"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ESV78968591,959800X6R04E0EBZVR66,"AHORRO CR IV FONDO DE PENSIONES","CASER PENSIONES, ENTIDAD GESTORA DE FONDOS DE PENSIONES S.A.","AV BURGOS, 109, 28050, Madrid",,"F0058"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ESV81781825,959800VTLFJYRXA51683,"AHORRO FUTURO, FONDO DE PENSIONES","CASER PENSIONES, ENTIDAD GESTORA DE FONDOS DE PENSIONES S.A.","AV BURGOS, 109, 28050, Madrid",,"F0493"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ESV31261225,959800KZSS6DR2F91X14,"AHORRO NAVARRA, FONDO DE PENSIONES","VIDA-CAIXA, SOCIEDAD ANÓNIMA DE SEGUROS Y REASEGUROS","PASEO DE LA CASTELLANA, 189, 28046, MADRID",,"F0199"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ESV83946525,95980020140005625498,"AHORROPENSION CATORCE, FONDO DE PENSIONES","CASER PENSIONES, ENTIDAD GESTORA DE FONDOS DE PENSIONES S.A.","AV BURGOS, 109, 28050, Madrid",,"F1190"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ESV72567795,959800D2T0MAQ089Y673,"AHORROPENSIÓN CIENTO  VEINTISEIS, FONDO DE PENSIONES","CASER PENSIONES, ENTIDAD GESTORA DE FONDOS DE PENSIONES S.A.","AV BURGOS, 109, 28050, MADRID",,"F2206"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ESV87677753,959800HPVDVEZWCCTZ15,"AHORROPENSION CIENTO CUATRO, FONDO DE PENSIONES","CASER PENSIONES, ENTIDAD GESTORA DE FONDOS DE PENSIONES S.A.","AV BURGOS, 109, 28050, Madrid",,"F2070"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
