CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ROASIG46,,"METLIFE EUROPE INSURANCE DESIGNATED ACTIVITY COMPANY","Str. Lascar Catargiu nr.47-53, et.4, Sector 1, 01066, BUCURESTI",no-vida,IEC89732                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ROASIG34,549300GK7Z9RSNNVFB27,"NN ASIGURARI DE VIATA SA","str. Costache Negri nr. 1-5, Sector 5 , 05055, BUCURESTI",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ROASIG52,787200KDNYVLC2ELYG87,"NN ASIGURARI S.A.","STR. COSTACHE NEGRI NR. 1-5, ET. 1, 05055, BUCURESTI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ROASIG35,529900AB9YD8CLGBE756,"OMNIASIG VIENNA INSURANCE GROUP S.A.","Aleea Alexandru nr. 51, Sector 1 , 01182, BUCURESTI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ROASIG36,213800TOAW5GTMZ1BL19,"ONIX ASIGURARI S.A.","Str. Promoroaca nr. 8-10, etaj 1, corp B, Sector 1 , 01413, BUCURESTI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ROASIG37,315700H6SYCXQWPJF410,"PAID - POOL-UL DE ASIGURARE IMPOTRIVA DEZASTRELOR NATURALE S.A.","Calea Victoriei nr. 155, bl. D1, Tronson 6, et. 6, Sector 1 , 01007, BUCURESTI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ROASIG38,,"PORSCHE VERSICHERUNGS AG SALZBURG SUCURSALA ROMANIA","Bulevardul Pipera nr. 2, Cladirea Porsche Bank, 07719, VOLUNTARI",no-vida,AT0000001055381                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ROASIG40,529900617IZ922N1YT16,"SIGNAL IDUNA ASIGURARE REASIGURARE S.A.","Str. Calea Floreasca nr. 60, etaj 6 , 7 si 8, Sector 1 , 01446, BUCURESTI",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ROASIG18,529900YST7L2SWPDWA12,"SIGNAL IDUNA ASIGURARI S.A.","Sos. Bucuresti - Ploiesti nr.1A, cladirea A, Unitatea 4A si 4B, etaj 4 , sector 1, 01368, BUCURESTI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ROASIG51,315700TP31GZA4FMLO71,"SOGESSUR S.A. PARIS - SUCURSALA BUCURESTI","STR. GHEORGHE POLIZU NR. 58-60, ZONA 2, ET.4, 01106, BUCURESTI",no-vida,FR379846637                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ROASIG43,529900L3YL1512DQN720,"UNIQA ASIGURARI DE VIATA S.A.","str. Nicolae Caramfil nr. 25, parter, cam. E0-09, Sector 1 , 01414, BUCURESTI",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ROASIG44,529900EHBJY3Z379SR41,"UNIQA ASIGURARI S.A.","str. Nicolae Caramfil nr. 25, parter, et. 1-5, Sector 1 , 01414, BUCURESTI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
