CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
DEAK0TS,391200WCR4Q1B1TJDL71,"Berliner Ärzteversorgung",,"Potsdamer Straße 47, 14163, Berlin",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
DEAMKQQ,529900BWAKPGZI2LGK48,"Betriebs-Pensionskasse der Firma Gustav Göckel Maschinenfabrik GmbH Darmstadt (VVaG)",,"Mornewegstraße 37-39, 64293, Darmstadt",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
DEALCMA,967600MMPORPGLYWXZ28,"Betriebspensionskasse der Carl Schenck AG VVaG Darmstadt",,"Landwehrstraße 55, 64293, Darmstadt",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
DEAMKQE,,"Betriebsruhegeldkasse der Heidelberger Straßen- und Bergbahn GmbH",,"Kurfürsten-Anlage 42-50, 69115, Heidelberg",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
DEA4L25,3912007HQDF8LCFMNB79,"Bosch Pensionsfonds Aktiengesellschaft",,"Heidehofstraße 31, 70184, Stuttgart",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
DEA3LAC,5299002D6IZH94EBGE45,"BVV Pensionsfonds des Bankgewerbes AG",,"Straße der Pariser Kommune 8, 10243, Berlin",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
DEA3PHY,529900SQ2PR5643VDQ98,"BVV Versicherungsverein des Bankgewerbes a.G.",,"Straße der Pariser Kommune 8, 10243, Berlin",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
DEA3TY8,529900IOL7VKLLJFKS98,"CHEMIE Pensionsfonds AG",,"Raiffeisenplatz 1, 65189, Wiesbaden",Mixed,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
DEA3LNL,529900FM31ZQLG2XWX66,"Debeka Pensionskasse AG",,"Debeka-Platz 1, 56073, Koblenz am Rhein",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
DEAC5U9,529900CKK5RTJ05KI290,"Debeka Zusatzversorgungskasse VaG",,"Debeka-Platz 1, 56073, Koblenz am Rhein",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
DEALCNA,391200ZBTD7XS2TUTQ68,"Deutsche Post Pensionsfonds AG",,"Charles-de-Gaulle-Straße 20, 53113, Bonn",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
DEA4K02,391200GUT1SFOPL3VU66,"Deutsche Steuerberater-Versicherung - Pensionskasse des steuerberatenden Berufs VVaG",,"24 69, Breite Straße 42, 50667, Köln",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
