CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
BE0444389761,549300FT79BIFVZRWH82,"DHL Employee Benefit Fund OFP",,"De Kleetlaan, 1, 1831, Machelen (Brab.)",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
BE0861912108,894500T50GICDA2FT820,"DS Smith Belgium OFP",,"B, Leonardo da Vincilaan, 2, 1831, Machelen (Brab.)",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
BE1011041490,984500D9FA1BCB2DAE80,"Easyvest Pension Fund",,"Avenue Louise, 475, 1050, Brussel",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
BE0448941239,549300LFZ4W1J1UJ9473,"Elgabel",,"Kunstlaan, 47, 1000, Brussel",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
BE0432324545,5493000EYCIBXJDY3J47,"ELI LILLY BELGIAN PENSION FUNDS",,"Markiesstraat, 1, 1000, Brussel",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
BE0477049067,9845004E595F2FC66344,"ENERBEL",,"Kunstlaan, 47, 1000, Brussel",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
BE0644695949,967600LEOCT6B2NP9944,"Ethias Pension Fund",,"Voie Gisèle Halimi, 10, 4000, Liège",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
BE0842037204,894500MKO0IBD15Z0674,"EUROCHEM ANTWERPEN",,"Scheldelaan, 600, 2040, Antwerpen",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
BE0421387497,549300Q2DD6RUT6GXB40,"EUROCLEAR PENSION FUND",,"Koning Albert II-laan, 1, 1210, Sint-Joost-ten-Node",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
BE0432957916,549300QUCKLMUO3B0I31,"ExxonMobil OFP",,"Hermeslaan, 2, 1831, Machelen (Brab.)",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
BE0410362557,549300F13K52ZNU23K48,"FONDS DE PENSION A.C. NIELSEN COMPANY BELGIUM",,"Avenue des Pléiades, 73, 1200, Woluwe-Saint-Lambert",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
