CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PLF2452,259400JLJGIKY3GEWY30,"Investor PPK 2040","Investors Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Mokotowska 1, 00-64, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
PLF2453,2594007QAY54B92MJA91,"Investor PPK 2045","Investors Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Mokotowska 1, 00-64, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
PLF2454,259400BZRTLD3AJXCR69,"Investor PPK 2050","Investors Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Mokotowska 1, 00-64, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
PLF2455,259400FXK1Z1H45ZYO77,"Investor PPK 2055","Investors Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Mokotowska 1, 00-64, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
PLF2456,259400C31M00CUQ6GC93,"Investor PPK 2060","Investors Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Mokotowska 1, 00-64, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
PLF2577,259400105OYZLDZPMZ69,"Investor PPK 2065","Investors Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Mokotowska 1, 00-64, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
PLF2769,259400NBI36V93FU9I98,"Investor PPK 2070","Investors Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Mokotowska 1, 00-64, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
PLFE000028,259400B37XBUOWJMY689,"Nationale-Nederlanden DFE Nasze Jutro 2025","Nationale-Nederlanden Powszechne Towarzystwo Emerytalne S.A.","ul. Topiel 12, 00-34, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
PLFE000029,2594004PT19MV05LN587,"Nationale-Nederlanden DFE Nasze Jutro 2030","Nationale-Nederlanden Powszechne Towarzystwo Emerytalne S.A.","ul. Topiel 12, 00-34, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
PLFE000030,259400O8EFP481EC3J29,"Nationale-Nederlanden DFE Nasze Jutro 2035","Nationale-Nederlanden Powszechne Towarzystwo Emerytalne S.A.","ul. Topiel 12, 00-34, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
PLFE000031,259400OSS5SE6QY5G148,"Nationale-Nederlanden DFE Nasze Jutro 2040","Nationale-Nederlanden Powszechne Towarzystwo Emerytalne S.A.","ul. Topiel 12, 00-34, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
PLFE000032,2594005GS9F8D8JKPX26,"Nationale-Nederlanden DFE Nasze Jutro 2045","Nationale-Nederlanden Powszechne Towarzystwo Emerytalne S.A.","ul. Topiel 12, 00-34, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
PLFE000033,259400CWUFXYLW3MFV17,"Nationale-Nederlanden DFE Nasze Jutro 2050","Nationale-Nederlanden Powszechne Towarzystwo Emerytalne S.A.","ul. Topiel 12, 00-34, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
PLFE000034,259400UHKVQO28Q48368,"Nationale-Nederlanden DFE Nasze Jutro 2055","Nationale-Nederlanden Powszechne Towarzystwo Emerytalne S.A.","ul. Topiel 12, 00-34, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
PLFE000035,259400P8WR52Z9E14580,"Nationale-Nederlanden DFE Nasze Jutro 2060","Nationale-Nederlanden Powszechne Towarzystwo Emerytalne S.A.","ul. Topiel 12, 00-34, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
PLFE000135,259400UFTN04OG7O9697,"Nationale-Nederlanden DFE Nasze Jutro 2065","Nationale-Nederlanden Powszechne Towarzystwo Emerytalne S.A.","ul. Topiel 12, 00-34, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
PLFE000144,259400Y1Q8SG32LIC873,"Nationale-Nederlanden DFE Nasze Jutro 2070","Nationale-Nederlanden Powszechne Towarzystwo Emerytalne S.A.","ul. Topiel 12, 00-34, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
PLFE000013,259400E15LM1TD16TF33,"Nationale-Nederlanden Dobrowolny Fundusz Emerytalny","Nationale-Nederlanden Powszechne Towarzystwo Emerytalne S.A.","ul. Topiel 12, 00-34, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
PLFE000006,259400XSATZX1SG3V568,"Nationale-Nederlanden OFE","Nationale-Nederlanden Powszechne Towarzystwo Emerytalne S.A.","ul. Topiel 12, 00-34, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
PLFE000010,259400IBZ9FQ7E42BH03,"OFE Pocztylion","Pocztylion-Arka Powszechne Towarzystwo Emerytalne S.A.","ul. Inflancka 4, 00-18, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
