CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PT720010187,549300G4H0I6NQX2D212,"FP Aberto Caixa Reforma Rendimento","CGD PENSÕES - SOCIEDADE GESTORA DE FUNDOS DE PENSÕES S.A.","Av. Joao XXI, no 63 - 2º Piso, 1000-, LISBOA",Mixed,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
PT720014271,984500C5Z53WDE66C593,"FP Aberto Corporate Crescimento","FUTURO-SOCIEDADE GESTORA DE FUNDOS DE PENSÕES S.A.","Rua do Carmo, 42, 6º, 1200-, LISBOA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PT720014298,9845002A2A09E491B098,"FP Aberto Corporate Dinâmico","FUTURO-SOCIEDADE GESTORA DE FUNDOS DE PENSÕES S.A.","Rua do Carmo, 42, 6º, 1200-, LISBOA",Mixed,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PT720014280,98450041D2BEBF47FE51,"FP Aberto Corporate Moderado","FUTURO-SOCIEDADE GESTORA DE FUNDOS DE PENSÕES S.A.","Rua do Carmo, 42, 6º, 1200-, LISBOA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PT720016274,549300P4UMVKNF2FQ165,"FP Aberto Euro Valor Dinâmico","SANTANDER TOTTA SEGUROS - COMPANHIA DE SEGUROS DE VIDA, S.A.","Rua da Mesquita, nº 6, 1070-, LISBOA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
PT720016282,54930061S3R7BCXB2G84,"FP Aberto Euro Valor Prudente","SANTANDER TOTTA SEGUROS - COMPANHIA DE SEGUROS DE VIDA, S.A.","Rua da Mesquita, nº 6, 1070-, LISBOA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
PT720016290,5493001IPSMFBWAV4O10,"FP Aberto Euro Valor Segurança","SANTANDER TOTTA SEGUROS - COMPANHIA DE SEGUROS DE VIDA, S.A.","Rua da Mesquita, nº 6, 1070-, LISBOA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
PT720011680,2138006OEZO1RWIKBJ50,"FP Aberto Eurovida Reforma Rendimento","SANTANDER TOTTA SEGUROS - COMPANHIA DE SEGUROS DE VIDA, S.A.","Rua da Mesquita, no 6, 1100-, LISBOA",Mixed,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
PT720011698,2138007YWM621VIZDL14,"FP Aberto Eurovida Reforma Valor","SANTANDER TOTTA SEGUROS - COMPANHIA DE SEGUROS DE VIDA, S.A.","Rua da Mesquita, no 6, 1100-, LISBOA",Mixed,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
PT720011574,213800R8TL1HK6IJXC90,"FP Aberto FUTURO ACTIVO","FUTURO-SOCIEDADE GESTORA DE FUNDOS DE PENSÕES S.A.","Rua do Carmo, 42, 6º, 1200-, LISBOA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
PT720002540,9845001BC50DBK547873,"FP Aberto Futuro Clássico","FUTURO-SOCIEDADE GESTORA DE FUNDOS DE PENSÕES S.A.","Rua do Carmo, 42, 6º, 1200-, LISBOA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
PT720013666,984500DFB4F1CB59A137,"FP Aberto FUTURO PLUS","FUTURO-SOCIEDADE GESTORA DE FUNDOS DE PENSÕES S.A.","Rua do Carmo, 42, 6º, 1200-, LISBOA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PT720010888,9845007ED3C40E0QC809,"FP Aberto Futuro XXI","FUTURO-SOCIEDADE GESTORA DE FUNDOS DE PENSÕES S.A.","Rua do Carmo, 42, 6º, 1200-, LISBOA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
PT720002834,549300VMQ1FIYD13LV34,"FP Aberto Horizonte Ações","AGEAS - SOCIEDADE GESTORA DE FUNDOS DE PENSÕES, S.A.","Praça Principe Perfeito, nº 2, 1990-, Lisboa",Mixed,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
PT720002826,549300I46NPWTTHRX004,"FP Aberto Horizonte Segurança","AGEAS - SOCIEDADE GESTORA DE FUNDOS DE PENSÕES, S.A.","Praça Príncipe Perfeito, n.º 2, 1990-, Lisboa",Mixed,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
PT720002923,549300BATIT6Q05I5N83,"FP Aberto Horizonte Valorização","AGEAS - SOCIEDADE GESTORA DE FUNDOS DE PENSÕES, S.A.","Praça Príncipe Perfeito, n.º 2, 1990-, Lisboa",Mixed,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
