CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
NL4235283,549300XRJJSBOMMYVX19,"Pensioenkring Astellas","Stichting Algemeen Pensioenfonds Stap","EUROPAWEG 27, 9723 , GRONINGEN",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
NL1001357459,549300KYKPIPDXG6H322,"Pensioenkring Ballast Nedam",,"Europaweg 27, 9723 , Groningen",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
NL8587557,5493000GMBI4EX1BR146,"Pensioenkring Cargill Bioindustrial","Stichting Het nederlandse pensioenfonds","Prins Mauritslaan 3, 1171 , BADHOEVEDORP",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
NL5448795,5493003N5I8JOWQ4TR03,"Pensioenkring Eastman",,"Europaweg 27, 9723 , GRONINGEN",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
NL1001357458,5493005W69NFRCIEH935,"Pensioenkring Holland Casino",,"Europaweg 27, 9723 , Groningen",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
NL7959154,213800GU4HY3EFS1V115,"Pensioenkring IFF",,"",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
NL5502315,2138001AJZ6TWT8LYQ90,"Pensioenkring PepsiCo","Stichting Het nederlandse pensioenfonds","PRINS MAURITSLAAN 3, 1171 , BADHOEVEDORP",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
NL8915249,5493007SM7ZF1T847736,"Pensioenkring Randstad Groep",,"Prins Mauritslaan 3, 3584 , BADHOEVEDORP",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
NL0408843,549300TJ3MP7QECDR986,"Pensioenkring Roba","Stichting Het nederlandse pensioenfonds","Prins Mauritslaan 3, 1171 , BADHOEVEDORP",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
NL8273658,549300ZOSCTCUU5LI472,"Pensioenkring SVG",,"Europaweg 27, 9723 , GRONINGEN",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
NL1526462,549300NKEXNWGIWG4S95,"Pensioenkring Sweco",,"Prins Mauritslaan 3, 1171 , BADHOEVEDORP",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
