CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ,CÓDIGO DE SUPERVISOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ESA67961474,959800E0EZGD7J17ZR25,"ASSEK EUROPE COMPAÑIA DE SEGUROS Y REASEGUROS S.A.U.","PASEO DE LA CASTELLANA Nº140 140,, 28046, MADRID",no-vida,,"C0812"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ESW0262202E,,"ASSICURATRICE MILANESE S.P.A, SUCURSAL EN ESPAÑA","AV. DIAGONAL, 453, 08036, BARCELONA",no-vida,,"E0255"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ESA08169633,9598006H4HYAUVFP5H29,"ATLANTIDA MEDICA DE ESPECIALIDADES, S.A. DE SEGUROS.","CL ENRIQUE GRANADOS 90-92, 08008, BARCELONA",no-vida,,"C0222"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ESA28000677,959800WA8FE7S22BZW91,"ATOCHA, S.A. DE SEGUROS","CALLE SAN BERNARDO 17, 28015, MADRID",no-vida,,"C0223"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ESA28008795,9598002U9BK2VP1RTG14,"ATRADIUS CREDITO Y CAUCION S.A. DE SEGUROS Y REASEGUROS","CALLE MÉNDÉZ ÁLVARO 31, 28045, MADRID",no-vida,,"C0046"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ESA08169674,9598006T82YN2LPQY896,"AURA, SOCIEDAD ANONIMA DE SEGUROS.","PLAZA DE LA VILA 25, 08922, SANTA COLOMA DE GRAMENET",no-vida,,"C0016"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ESA01649037,959800KJ36J06KEW1J63,"AVANZA PREVISIÓN, COMPAÑÍA DE SEGUROS, S.A.","C/ VILLANUEVA N º 11 11,, 28001, MADRID",compuestos,,"C0809"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ESW0034957A,,"AWP P&C SUCURSAL EN ESPAÑA","C/ RAMIREZ DE ARELLANO 35, 28043, MADRID",no-vida,FR519490080,"E0202"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ESA48464606,213800FP9RNTV6Z4YX30,"AXA AURORA VIDA, S.A. DE SEGUROS Y REASEGUROS","C/ ALAMEDA DE URQUIJO 78, 48013, Bilbao",vida,,"C0711"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ESW2502653E,,"AXA FRANCE IARD SUC, ESPAÑA","AREQUIPA 1, 28043, MADRID",no-vida,FR722057460,"E0238"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ESE0233,,"AXA FRANCE VIE SUC, ESPAÑA","EDIFICIO MAR DE CRISTAL  C/AREQUIPA 28043, 28043, MADRID",compuestos,FR310499959,"E0233"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
