CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ,CÓDIGO DE SUPERVISOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ESV28277002,95980020140005245549,"LORETO MUTUA, MUTUALIDAD DE PREVISION SOCIAL","Paseo de la Castellana 40, 28046, Madrid",vida,,"P2994"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ESA79194148,959800GMX7R2WN7KGT42,"MAPFRE ASISTENCIA, COMPAÑIA INTERNACIONAL DE SEGUROS Y REASEGUROS, S.A.","CTRA. POZUELO 52, 28222, MAJADAHONDA",no-vida,,"C0676"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ESA28141935,959800M5S8EHVXWG6P95,"MAPFRE ESPAÑA, COMPAÑIA DE SEGUROS Y REASEGUROS, S.A.","CTRA. DE POZUELO 50, 28222, MAJADAHONDA",compuestos,,"C0058"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ESA78346558,UIUPNLHSQI58ZL7O2J82,"MAPFRE RE, COMPAÑIA DE REASEGUROS, S.A.","Paseo de Recoletos 25, 28004, MADRID",reaseguros,,"R0019"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ESA28229599,95980020140005571275,"MAPFRE VIDA, S.A. DE SEGUROS Y REASEGUROS SOBRE LA VIDA HUMANA","CTRA. DE POZUELO 50, 28220, Majadahonda",compuestos,,"C0511"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ESA57193492,9598009X93GQBNHF1L85,"MARCH VIDA, SOCIEDAD ANONIMA DE SEGUROS Y REASEGUR OS","AV ALEJANDRO ROSSELLÓ 8, 07002, PALMA DE MALLORCA",compuestos,,"C0754"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ESE0235,,"MARKEL INSURANCE SE SUCURSAL EN ESPAÑA","PASEO DE LA CASTELLANA 259, 28046, MADRID",no-vida,GB0ECBM05179,"E0235"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ESW0071457F,,"MEDIOLANUM INTERNATIONAL LIFE DESIGNATED ACTIVITY COMPANY SUC.ESPAÑA","CALLE AGUSTINA SARAGOSSA 3, 08017, BARCELONA",vida,IEC33581,"E0141"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ESA28534345,95980020140005248944,"MEDVIDA PARTNERS DE SEGUROS Y REASEGUROS, S.A.","Carrera de San Jerónimo 21, 28006, MADRID",compuestos,,"C0559"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ESA18006296,959800ZWWVLBYKM42V32,"MERIDIANO, S.A., COMPAÑIA ESPAÑOLA DE SEGUROS","Av JEAN LAUDE COMBALDIEU 5, 03008, Alicante/Alacant",no-vida,,"C0494"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ESW0072536F,,"METLIFE EUROPE DESIGNATED ACTIVITY SUC.ESPAÑA","AVDA DE LOS TOREROS 3, 28028, MADRID",compuestos,IEC42062,"E0208"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ESW0072537D,,"METLIFE EUROPE INSURANCE DESIGNATED ACTIVITY COMPANY SUC.ESPAÑA","AVDA DE LOS TOREROS 3, 28028, MADRID",no-vida,IEC89732,"E0209"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ESV08846644,959800AWCJB7N538UK67,"MGC INSURANCE, MUTUA DE SEGUROS Y REASEGUROS A PRIMA FIJA","CALLE TUSETS 5-11, 08006, BARCELONA",compuestos,,"M0379"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ESA08171373,959800HLH5TACZZ9RT63,"MGS SEGUROS Y REASEGUROS S.A.","CALLE DON JAIME I 32, 50001, Zaragoza",compuestos,,"C0794"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ESW0117091I,,"MIC INSURANCE COMPANY, SUCURSAL EN ESPAÑA","CALLE AVIACIÓN 10 10,, 41007, SEVILLA",no-vida,FR885241208,"E0248"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ESV08616807,959800KFFMS9PXW0TF55,"MONTEPIO D'ASSISTÈNCIA SANITÀRIA COL·LEGIAL D'ASSEGURANCES DR. LUIS SANS SOLA, MPS A QUOTA FIXA","CL MUNTANER  461 BAIXOS, 08021, BARCELONA",no-vida,,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ESV28232841,959800TX37YS72VF3L63,"MONTEPIO DE ARTILLERIA, MUTUALIDAD DE PREVISIÓN SOCIAL","C/ SANTISIMA TRINIDAD 30, 28010, MADRID",vida,,"P0046"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ESV17068685,959800N5AW85UQ9JGH30,"MONTEPIO DE CONDUCTORS SANT CRISTÒFOL DE GIRONA I PROVÍNCIA, MUTUALITAT DE PREVISIÓ SOCIAL A PRIMA FIXA","CL JULI GARRETA NÚM. 14, BAIXOS, 17002, GIRONA",no-vida,,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ESW1081054G,,"MONUMENT ASSURANCE LUXEMBURG S.A SUC. ESPAÑA","LUCHANA 23, 28010, MADRID",vida,LURCSB0073935,"E0152"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ESW0049767G,,"MSIG INSURANCE EUROPE AG SUC.ESPAÑA","CALLE ORENSE 34, 28020, MADRID",no-vida,,"E0212"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ESA28437945,,"MÜNCHENER RÜCKVERSICHERUNGS-GESELLSCHAFT, SUCURSAL ESPAÑA Y PORTUGAL","PASEO DE LA CATELLANA 7, 28046, MADRID",reaseguros,DEA00PN,"E0227"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ESA85490407,9598007W6DJJTCZPKQ89,"MURIMAR VIDA SEGUROS Y REASEGUROS, S.A.","C/ Orense 58, 28020, Madrid",vida,,"C0793"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ESV28865855,959800CJK3068RAPAX28,"MUSAAT, MUTUA DE SEGUROS A PRIMA FIJA","CL JAZMIN 66, 28033, MADRID",no-vida,,"M0368"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ESG08171548,95980063VYQX6K6DXW07,"MUSSAP- MUTUA DE SEGUROS Y REASEGUROS A PRIMA FIJA","Via Layetana 20, 08003, Barcelona",no-vida,,"M0107"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ESV46053245,95980041K6Z0LE4DNZ73,"MUTUA ARROCERA DE SEGUROS","C/ D. Juan de Austria 36, 46002, VALENCIA",no-vida,,"M0124"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ESV08305567,959800Z50KZGFG5H4Y44,"MÚTUA D'EMPLEATS DELS TRANSPORTS DE BARCELONA, M.P.S. A QUOTA FIXA","CL TORRENT DE LES FLORS, 83, 08024, BARCELONA",no-vida,,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ESG01014893,9598002VVT3S5BDCAT94,"MUTUA DE ALAVA, SEGURO DE EDIFICIOS A PRIMA FIJA, MUTUA DE SEGUROS","CL VICENTE GOICOECHEA 1, 01008, VITORIA",no-vida,,"M0374"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ESV08423980,9598008G16MLG5CQM578,"MÚTUA DE GRANOLLERS, MÚTUA DE PREVISIÓ SOCIAL","CL PLAÇA PAU CASALS, S/N, 08402, GRANOLLERS",no-vida,,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ESV25019266,959800PMAYKFHJLCEC19,"MÚTUA DE L'ALT PIRINEU, MPS","CL SANT AGUSTÍ, 25, 25700, LA SEU D'URGELL",no-vida,,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ESV47005640,9598002A5E1NG9EJ2H79,"MUTUA DE PREVISION SOCIAL A PRIMA FIJA DEL PERSONAL DE RENAULT ESPAÑA, MUTUALIDAD DE PREVISIÓN SOCIAL","AVENIDA MADRID 72, 47008, Valladolid",compuestos,,"P2651"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ESG08171332,959800TSHQ9XFDABEE13,"MUTUA DE PROPIETARIOS, SEGUROS Y REASEGUROS A PRIMA FIJA","CL LONDRES 29, 08029, BARCELONA",no-vida,,"M0199"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ESG78547148,959800WFUYUBMKDBD861,"MUTUA DE RIESGO MARITIMO, SOCIEDAD DE SEGUROS A PRIMA FIJA (MURIMAR)","CL ORENSE 58, 28020, MADRID",no-vida,,"M0371"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ESV28009561,9598008NWS54JTFEPW35,"MUTUA DE SEGUROS DE ARMADORES DE BUQUES DE PESCA DE ESPAÑA, SOCIEDAD MUTUA A PRIMA FIJA","CL Claudio Coello 78, 28001, Madrid",no-vida,,"M0046"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ESJ46093829,959800C5KWKMJYMHTV81,"MUTUA DE SEGUROS Y REASEGUROS DE LA PANADERIA DE VALENCIA","CL GUILLEM DE CASTRO 46, 46001, Valencia",no-vida,,"M0327"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ESV08413460,95980038LADWGGYLNK70,"MÚTUA DE TERRASSA, MUTUALITAT DE PREVISIÓ SOCIAL","CL SANT ANTONI, 32, 08221, TERRASSA",compuestos,,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ESG60327798,5493001MMD6ZXV8ZXW79,"MÚTUA DEL PERSONAL DE LA CAIXA, M.P.S.","GRAN VIA DE CARLES III, 84, 08028, BARCELONA",no-vida,,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ESG03015914,959800MMH2ZHJ6JPNG65,"MUTUA LEVANTE, MUTUA DE SEGUROS","C/ Roger de Lluria 8, 03801, ALCOY",no-vida,,"M0140"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ESV28027118,95980020140005325671,"MUTUA MADRILEÑA AUTOMOVILISTA, SOCIEDAD DE SEGUROS A PRIMA FIJA","Pº DE LA CASTELLANA 33, 28046, MADRID",compuestos,,"M0083"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ESV08276545,959800YMEJC892XQNJ65,"MÚTUA MANRESANA, MUTUALITAT DE PREVISIÓ SOCIAL A PRIMA FIXA","CL MOSSÈN SERAPI FARRÉ, 41, 08242, MANRESA",compuestos,,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ESG28010817,959800E0B263GHBW8T98,"MUTUA MMT SEGUROS, SOCIEDAD MUTUA DE SEGUROS A PRIMA FIJA","CL TRAFALGAR 11, 28010, MADRID",no-vida,,"M0084"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ESV08465098,95980084CSRTER6E1E21,"MUTUA NACIONAL DE INGENIEROS TÉCNICOS DE PREVISIÓN SOCIAL A PRIMA FIJA , MUTUALIDAD DE PREVISION SOCIAL","TRAVESSERA DE DALT 11, 08024, BARCELONA",compuestos,,"P3164"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ESV12006268,959800BTZ7RC84LM6G21,"MUTUA SEGORBINA DE SEGUROS A PRIMA FIJA","PZ GRAL.GIMENEZ SALES 2, 12400, SEGORBE",no-vida,,"M0167"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ESG38004297,959800S2RZ27G26M1V05,"MUTUA TINERFEÑA, MUTUA DE SEGUROS Y REASEGUROS A PRIMA FIJA","CL PUERTA CANSECO 33, 38003, STA. CRUZ DE TENERIFE",no-vida,,"M0216"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ESV08475766,95980020140006020191,"MUTUAL MÉDICA, MUTUALIDAD DE PREVISION SOCIAL A PRIMA FIJA","VÍA LAIETANA 31, 08003, BARCELONA",compuestos,,"P3157"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ESV08259434,,"MUTUAL-SALUS DE PREVISIÀ SOCIAL  M.P.S. A QUOTA FIXA","CL PAU CLARIS 70  ENT. B, 08010, BARCELONA",no-vida,,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
