CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
BG121265177,74780000T020S030A052,"JSIC OZK - INSURANCE JSC","Vazrazhdane Dist., 7, SVETA SOFIYa Str., floor 5, 1301, Sofia",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
BG121130788,529900KI9IPZDAC40081,"LEV INS","Studentski Dist., 67A, Simeonovsko shose Blvd., 1700, Sofia",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
BG175247407,485100G3CEKIU7LKQ561,"Life Insurance Company Saglasie","Vazrazhdane Dist., 117, Todor Aleksandrov Blvd., 1303, Sofia",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
BG175010739,529900IKTTK0W1AIZY91,"LIFE INSURANCE INSTITUTE","Studentski Dist., 67A, Simeonovsko shose Blvd., 1700, Sofia",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
BG203328716,,"MetLife Europe d.a.c. - Bulgaria Branch","Triaditsa Dist., 51B, Balgariya Blvd., 1404, Sofia",vida,IEC42062                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
BG206308423,,"Porsche Versicherungs AG - Filiale Bulgarien","Mladost Dist., floor 2, 1766, Sofia",no-vida,AT0000001055381                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
BG200339643,097900BFIM0000031003,"SAGLASIE INSURANCE JSC","Vazrazhdane Dist., 117, Todor Aleksandrov Str., 1303, Sofia",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
BG040451865,529900QUFCNI937IFE22,"UNIQA INSURANCE","Vazrazhdane Dist., 18, Todor Aleksandrov Blvd., 1000, Sofia",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
BG831626729,529900JXZ3AOURHL8Z49,"UNIQA LIFE INSURANCE","Vazrazhdane Dist., 18, Todor Aleksandrov Blvd., 1000, Sofia",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
BG121911566,485100BSJAWWJO8D2Q02,"UNITED HEALTH INSURANCE FUND DOVERIE INSURANCE AD","Izgrev Dist., 5, Lachezar Stanchev Str., floor 5, 1756, Sofia",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
BG040638060,529900BNGN523NOYWP15,"ZAD ALLIANZ BULGARIA","Lozenets Dist., 16, Srebarna Str., 1407, Sofia",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
BG040293319,529900KLBAA2R1BY0X45,"ZAD ALLIANZ BULGARIA JIVOT","Lozenets Dist., 16, Srebarna Str., 1407, Sofia",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
BG831040933,529900AY9GPDH3OQF009,"ZAD ENERGY","Lozenets Dist., 16, Srebarna Str., 1407, Sofia",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
BG200464480,485100DGD4CURELMX119,"ZAD European Insurance Company","Lozenets Dist., 67A, TsANKO TsERKOVSKI Str., 1407, Sofia",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
