CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PLIC0040,259400KLVP0JONUXXV45,"TU EUROPA S.A.","ul. Władysława Sikorskiego 26, 53-65, Wrocław",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
PLIC0043,259400437TCRDB7RJ612,"TU INTER POLSKA S.A.","Al. Jerozolimskie 142, 02-30, Warszawa",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
PLIC0012,259400PVJDKZ8V4XFJ71,"TU INTER-ŻYCIE POLSKA S.A.","Al. Jerozolimskie 142, 02-30, Warszawa",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
PLIC0010,2594004GSZRMBSGF7886,"TU na ŻYCIE EUROPA S.A.","ul. Władysława Sikorskiego 26, 53-65, Wrocław",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
PLIC0060,2594002G3LFB8SI18N62,"TU ZDROWIE S.A.","ul. Śląska 21, 81-31, Gdynia",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
PLIC0028,259400MDL4OD6BLVIB72,"TUiR ALLIANZ POLSKA S.A.","ul. Rodziny Hiszpańskich 1, 02-68, Warszawa",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
PLIC0059,529900H4WZAK60DYKH87,"TUiR WARTA S.A.","Rondo Ignacego Daszyńskiego 1, 00-84, Warszawa",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
PLIC0006,213800CLFT1YGUV9SW09,"TUnŻ CARDIF POLSKA S.A.","ul. Grzybowska 78, 00-84, Warszawa",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PLIC0027,529900VTL1PSGPCZ6Q28,"TUnŻ WARTA S.A.","Rondo Ignacego Daszyńskiego 1, 00-84, Warszawa",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
PLIC0047,259400TSFYL7DD6G4F82,"TUW MEDICUM w likwidacji","ul. Staniewicka 14A, 03-31, Warszawa",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
