CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
MTA206328,21380087SZ854SSNYJ36,"INTERNATIONAL GENERAL INSURANCE COMPANY (EUROPE) LTD.","DEVELOPMENT HOUSE  ST. ANNE STREET, FRN 9, FLORIANA",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
MTA203963,9845003B91FF890A2E72,"IVALIFE INSURANCE LIMITED","CENTRIS BUSINESS GATEWAY II LEVEL 1D TRIQ IS-SALIB TAL-IM, CBD 3, BIRKIRKARA",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
MTA218050,529900FFO3L3GK5YNS11,"JORGE INSURANCE LIMITED","SUITE 21A IL-PIAZZETTA BLK A TRIQ IT-TORRI, SLM 1, SLIEMA",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
MTICLGI,635400GFKTPA7J4VII02,"Liberty Global Insurance Company limited","Development House, St. Anne Street, FRN 9, Floriana",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
MTICGCLI,213800RJG2OCEN9KIW48,"LIFESTAR INSURANCE P.L.C.","GlobalCapital Life Insurance Limited, Testaferrata Street,, XBX 1, Ta' Xbiex",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
MTICLMST,635400LEQ5RTOPISAN21,"Lime Street Insurance PCC Limited","Development House, St. Anne Street, FRN 9, Floriana",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
MTA178913,213800G81GJ1SZALXX44,"MANGROVE INSURANCE EUROPE PCC LIMITED","THE HEDGE BUSINESS CENTRE,LEVEL 3 TRIQ IR-RAMPA TA SAN GILJAN BALLUTA BAY, STJ 1, SAN GILJAN",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
MTICMSI,213800KY94NQYH4IZU83,"Mapfre Middlesea P.L.C.","Middle Sea House, FRN 1, FLORIANA",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
MTICMSV,213800WBOT78MFOD8M71,"MAPFRE MSV LIFE P.L.C.","THE MALL IL-MALL, FRN 1, FLORIANA",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
MTA209264,213800TN8UO98X7MBL94,"MARCO INSURANCE PCC LIMITED","ARAGON HOUSE TRIQ ID- DRAGUNARA, STJ 3, SAN GILJAN",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
MTA213989,984500Z051EF5NF5SE67,"MARCO TITLE EUROPE LIMITED","171  TRIQ L-IFRAN, VLT 1, VALLETTA",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
MTA214718,213800U7DZIE2N6SN996,"MONARCH ASSURANCE","DEVELOPMENT HOUSE,4TH FLOOR,TRIQ SANTANNA, FRN 9, IL-FURJANA",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
MTICMNRE,5299004V4S625766IJ96,"Munich Re of Malta p.l.c.","LEVEL 4 WHITEHALL MANSIONS IX-XATT TA XBIEX, XBX 1, TA  XBIEX",reaseguros,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
MTICMRPCC,6354009HGIEMUJPTCD02,"MUNICH RE PCC LIMITED","LEVEL 4 WHITEHALL MANSION, XBX 1, TA' XBIEX",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
MTICNSSN,213800MJ2V3XCIZ8DE80,"Nissan International Insurance Limited","8,PORTOMASO MARINA  NO 2  THE QUAY PORTOMASO, STJ 3, St. Julians",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
