"International Name";"Name of NCA";"Home Country";"Identification code";"LEI";"Official name of the entity";"Cross border status";"EU Country where the entity operates";"Local/Commercial name";"Registration start date";"Registration end date";"Street Name";"Street Number";"Post Code";"City";"County";"Website address";"Operation Start Date";"Operation End Date";
"Groupama Insurance Private Company Limited";"Magyar Nemzeti Bank (MNB)";"HU";"10207349";"5299005OWMBTSNKNP092";"Groupama Biztosító Zártkörűen Működő Rt.";"EEA FPS";"SK";"Groupama Biztosító Zrt.";"01/01/1900 00:00:00";"";"Erzsébet királyné útja";"1/C";"1146";"Budapest";"";"www.groupama.hu";"28/12/2021 00:00:00";"";
"Groupama Insurance Private Company Limited";"Magyar Nemzeti Bank (MNB)";"HU";"10207349";"5299005OWMBTSNKNP092";"Groupama Biztosító Zártkörűen Működő Rt.";"EEA FPS";"SI";"Groupama Biztosító Zrt.";"01/01/1900 00:00:00";"";"Erzsébet királyné útja";"1/C";"1146";"Budapest";"";"www.groupama.hu";"28/12/2021 00:00:00";"";
"Groupama Garancia Insurance Private Company Limited";"Magyar Nemzeti Bank (MNB)";"HU";"10207349";"5299005OWMBTSNKNP092";"Groupama Biztosító Zártkörűen Működő Rt.";"EEA FPS";"RO";"Groupama Biztosító Zrt.";"22/03/2010 00:00:00";"31/12/2025 00:00:00";"Erzsébet királyné útja";"1/C";"1146";"Budapest";"";"www.groupama.hu";"22/03/2010 00:00:00";"31/12/2025 00:00:00";
"AEGON Hungary Composite Insurance Closed Company Limited";"Magyar Nemzeti Bank (MNB)";"HU";"10389395";"2138002WE79XZSYJB750";"AEGON Magyarország Általános Biztosító Zártkörűen Működő Részvénytársaság";"EEA FPS";"RO";"AEGON Magyarország Zrt.";"13/10/2015 00:00:00";"31/12/2025 00:00:00";"Üllői út";"1";"1091";"Budapest";"";"www.aegon.hu";"13/10/2015 00:00:00";"31/12/2025 00:00:00";
"UNIQA geschlossene Versicherungs Aktiengesellschaft";"Magyar Nemzeti Bank (MNB)";"HU";"10456017";"549300RLBB7L1SYSG775";"UNIQA Biztosító Zártkörűen Működő Részvénytársaság";"EEA FPS";"CZ";"UNIQA Biztosító Zrt.";"01/01/1900 00:00:00";"";"Róbert Károly körút";"70-74";"1134";"Budapest";"";"http://www.uniqa.hu";"31/07/2003 00:00:00";"";
"UNIQA geschlossene Versicherungs Aktiengesellschaft";"Magyar Nemzeti Bank (MNB)";"HU";"10456017";"549300RLBB7L1SYSG775";"UNIQA Biztosító Zártkörűen Működő Részvénytársaság";"EEA FPS";"AT";"UNIQA Biztosító Zrt.";"01/01/1900 00:00:00";"";"Róbert Károly körút";"70-74";"1134";"Budapest";"";"http://www.uniqa.hu";"31/07/2003 00:00:00";"";
"Allianz Hungaria Insurance Co. Ltd";"Magyar Nemzeti Bank (MNB)";"HU";"10337587";"";"Allianz Hungária Biztosító Zártkörűen Működő Részvénytársaság";"EEA FPS";"LU";"Allianz Hungária Zrt.";"16/07/1991 00:00:00";"08/09/2015 00:00:00";"Könyves Kálmán körút";"48-52";"1087";"Budapest";"";"www.allianz.hu";"16/07/1991 00:00:00";"08/09/2015 00:00:00";
"UNION Vienna Insurance Group Biztosító Zrt.";"Magyar Nemzeti Bank (MNB)";"HU";"10491984";"549300TOYUBF02YGV429";"UNION Vienna Insurance Group Biztosító Zrt.";"EEA FPS";"BG";"UNION Vienna Insurance Group Zrt.";"17/10/2007 00:00:00";"";"Baross utca";"1";"1082";"Budapest";"";"www.unionbiztosito.hu";"17/10/2007 00:00:00";"";
"UNION Vienna Insurance Group Biztosító Zrt.";"Magyar Nemzeti Bank (MNB)";"HU";"10491984";"549300TOYUBF02YGV429";"UNION Vienna Insurance Group Biztosító Zrt.";"EEA FPS";"AT";"UNION Vienna Insurance Group Zrt.";"17/10/2007 00:00:00";"";"Baross utca";"1";"1082";"Budapest";"";"www.unionbiztosito.hu";"17/10/2007 00:00:00";"";
"UNIQA geschlossene Versicherungs Aktiengesellschaft";"Magyar Nemzeti Bank (MNB)";"HU";"10456017";"549300RLBB7L1SYSG775";"UNIQA Biztosító Zártkörűen Működő Részvénytársaság";"EEA FPS";"SI";"UNIQA Biztosító Zrt.";"01/01/1900 00:00:00";"";"Róbert Károly körút";"70-74";"1134";"Budapest";"";"http://www.uniqa.hu";"31/07/2003 00:00:00";"";
"UNIQA geschlossene Versicherungs Aktiengesellschaft";"Magyar Nemzeti Bank (MNB)";"HU";"10456017";"549300RLBB7L1SYSG775";"UNIQA Biztosító Zártkörűen Működő Részvénytársaság";"EEA FPS";"RO";"UNIQA Biztosító Zrt.";"01/01/1900 00:00:00";"";"Róbert Károly körút";"70-74";"1134";"Budapest";"";"http://www.uniqa.hu";"31/07/2003 00:00:00";"";
"UNIQA geschlossene Versicherungs Aktiengesellschaft";"Magyar Nemzeti Bank (MNB)";"HU";"10456017";"549300RLBB7L1SYSG775";"UNIQA Biztosító Zártkörűen Működő Részvénytársaság";"EEA FPS";"SK";"UNIQA Biztosító Zrt.";"01/01/1900 00:00:00";"";"Róbert Károly körút";"70-74";"1134";"Budapest";"";"http://www.uniqa.hu";"31/07/2003 00:00:00";"";
"UNION Vienna Insurance Group Biztosító Zrt.";"Magyar Nemzeti Bank (MNB)";"HU";"10491984";"549300TOYUBF02YGV429";"UNION Vienna Insurance Group Biztosító Zrt.";"EEA FPS";"FR";"UNION Vienna Insurance Group Zrt.";"27/01/2009 00:00:00";"";"Baross utca";"1";"1082";"Budapest";"";"www.unionbiztosito.hu";"27/01/2009 00:00:00";"";
"UNION Vienna Insurance Group Biztosító Zrt.";"Magyar Nemzeti Bank (MNB)";"HU";"10491984";"549300TOYUBF02YGV429";"UNION Vienna Insurance Group Biztosító Zrt.";"EEA FPS";"HR";"UNION Vienna Insurance Group Zrt.";"26/11/2014 00:00:00";"";"Baross utca";"1";"1082";"Budapest";"";"www.unionbiztosito.hu";"26/11/2014 00:00:00";"";
"UNION Vienna Insurance Group Biztosító Zrt.";"Magyar Nemzeti Bank (MNB)";"HU";"10491984";"549300TOYUBF02YGV429";"UNION Vienna Insurance Group Biztosító Zrt.";"EEA FPS";"DE";"UNION Vienna Insurance Group Zrt.";"06/03/2007 00:00:00";"";"Baross utca";"1";"1082";"Budapest";"";"www.unionbiztosito.hu";"06/03/2007 00:00:00";"";
"UNION Vienna Insurance Group Biztosító Zrt.";"Magyar Nemzeti Bank (MNB)";"HU";"10491984";"549300TOYUBF02YGV429";"UNION Vienna Insurance Group Biztosító Zrt.";"EEA FPS";"CZ";"UNION Vienna Insurance Group Zrt.";"17/10/2007 00:00:00";"";"Baross utca";"1";"1082";"Budapest";"";"www.unionbiztosito.hu";"17/10/2007 00:00:00";"";
"UNION Vienna Insurance Group Biztosító Zrt.";"Magyar Nemzeti Bank (MNB)";"HU";"10491984";"549300TOYUBF02YGV429";"UNION Vienna Insurance Group Biztosító Zrt.";"EEA FPS";"IT";"UNION Vienna Insurance Group Zrt.";"17/10/2007 00:00:00";"";"Baross utca";"1";"1082";"Budapest";"";"www.unionbiztosito.hu";"17/10/2007 00:00:00";"";
"UNION Vienna Insurance Group Biztosító Zrt.";"Magyar Nemzeti Bank (MNB)";"HU";"10491984";"549300TOYUBF02YGV429";"UNION Vienna Insurance Group Biztosító Zrt.";"EEA FPS";"PL";"UNION Vienna Insurance Group Zrt.";"17/10/2007 00:00:00";"";"Baross utca";"1";"1082";"Budapest";"";"www.unionbiztosito.hu";"17/10/2007 00:00:00";"";
"UNION Vienna Insurance Group Biztosító Zrt.";"Magyar Nemzeti Bank (MNB)";"HU";"10491984";"549300TOYUBF02YGV429";"UNION Vienna Insurance Group Biztosító Zrt.";"EEA FPS";"NO";"UNION Vienna Insurance Group Zrt.";"29/07/2015 00:00:00";"";"Baross utca";"1";"1082";"Budapest";"";"www.unionbiztosito.hu";"29/07/2015 00:00:00";"";
"UNION Vienna Insurance Group Biztosító Zrt.";"Magyar Nemzeti Bank (MNB)";"HU";"10491984";"549300TOYUBF02YGV429";"UNION Vienna Insurance Group Biztosító Zrt.";"EEA FPS";"SK";"UNION Vienna Insurance Group Zrt.";"17/10/2007 00:00:00";"";"Baross utca";"1";"1082";"Budapest";"";"www.unionbiztosito.hu";"17/10/2007 00:00:00";"";
"UNION Vienna Insurance Group Biztosító Zrt.";"Magyar Nemzeti Bank (MNB)";"HU";"10491984";"549300TOYUBF02YGV429";"UNION Vienna Insurance Group Biztosító Zrt.";"EEA FPS";"RO";"UNION Vienna Insurance Group Zrt.";"17/10/2007 00:00:00";"";"Baross utca";"1";"1082";"Budapest";"";"www.unionbiztosito.hu";"17/10/2007 00:00:00";"";
"UNION Vienna Insurance Group Biztosító Zrt.";"Magyar Nemzeti Bank (MNB)";"HU";"10491984";"549300TOYUBF02YGV429";"UNION Vienna Insurance Group Biztosító Zrt.";"EEA FPS";"SI";"UNION Vienna Insurance Group Zrt.";"17/10/2007 00:00:00";"";"Baross utca";"1";"1082";"Budapest";"";"www.unionbiztosito.hu";"17/10/2007 00:00:00";"";
"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"Magyar Nemzeti Bank (MNB)";"HU";"12141843";"";"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"EEA FPS";"AT";"Vienna Life Vienna Insurance Group Biztosító Zrt.";"02/09/2010 00:00:00";"01/04/2018 00:00:00";"Váci út";"135-139";"1138";"Budapest";"";"www.viennalife.hu";"02/09/2010 00:00:00";"01/04/2018 00:00:00";
"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"Magyar Nemzeti Bank (MNB)";"HU";"12141843";"";"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"EEA FPS";"BE";"Vienna Life Vienna Insurance Group Biztosító Zrt.";"02/09/2010 00:00:00";"01/04/2018 00:00:00";"Váci út";"135-139";"1138";"Budapest";"";"www.viennalife.hu";"02/09/2010 00:00:00";"01/04/2018 00:00:00";
"NN Biztosító Zártkörűen Működő Részvénytársaság";"Magyar Nemzeti Bank (MNB)";"HU";"10492033";"213800LJXKNQGWI7T748";"NN Biztosító Zártkörűen Működő Részvénytársaság";"EEA FPS";"SI";"NN Biztosító Zrt.";"07/08/2008 00:00:00";"";"Dózsa György út";"84/B";"1068";"Budapest";"";"www.nn.hu";"07/08/2008 00:00:00";"";
"SIGNAL Versicherung Geschlossene Aktiengesellschaft";"Magyar Nemzeti Bank (MNB)";"HU";"10828704";"529900J6X2TY517BIE79";"SIGNAL Biztosító Zártkörűen működő Részvénytársaság";"EEA FPS";"RO";"SIGNAL Biztosító Zrt.";"21/12/2007 00:00:00";"31/12/2025 00:00:00";"Alkotás utca";"50";"1123";"Budapest";"";"www.signal.hu";"21/12/2007 00:00:00";"31/12/2025 00:00:00";
"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"Magyar Nemzeti Bank (MNB)";"HU";"12141843";"";"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"EEA FPS";"CZ";"Vienna Life Vienna Insurance Group Biztosító Zrt.";"02/09/2010 00:00:00";"01/04/2018 00:00:00";"Váci út";"135-139";"1138";"Budapest";"";"www.viennalife.hu";"02/09/2010 00:00:00";"01/04/2018 00:00:00";
"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"Magyar Nemzeti Bank (MNB)";"HU";"12141843";"";"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"EEA FPS";"BG";"Vienna Life Vienna Insurance Group Biztosító Zrt.";"02/09/2010 00:00:00";"01/04/2018 00:00:00";"Váci út";"135-139";"1138";"Budapest";"";"www.viennalife.hu";"02/09/2010 00:00:00";"01/04/2018 00:00:00";
"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"Magyar Nemzeti Bank (MNB)";"HU";"12141843";"";"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"EEA FPS";"DE";"Vienna Life Vienna Insurance Group Biztosító Zrt.";"02/09/2010 00:00:00";"01/04/2018 00:00:00";"Váci út";"135-139";"1138";"Budapest";"";"www.viennalife.hu";"02/09/2010 00:00:00";"01/04/2018 00:00:00";
"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"Magyar Nemzeti Bank (MNB)";"HU";"12141843";"";"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"EEA FPS";"CY";"Vienna Life Vienna Insurance Group Biztosító Zrt.";"02/09/2010 00:00:00";"01/04/2018 00:00:00";"Váci út";"135-139";"1138";"Budapest";"";"www.viennalife.hu";"02/09/2010 00:00:00";"01/04/2018 00:00:00";
"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"Magyar Nemzeti Bank (MNB)";"HU";"12141843";"";"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"EEA FPS";"DK";"Vienna Life Vienna Insurance Group Biztosító Zrt.";"02/09/2010 00:00:00";"01/04/2018 00:00:00";"Váci út";"135-139";"1138";"Budapest";"";"www.viennalife.hu";"02/09/2010 00:00:00";"01/04/2018 00:00:00";
"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"Magyar Nemzeti Bank (MNB)";"HU";"12141843";"";"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"EEA FPS";"LT";"Vienna Life Vienna Insurance Group Biztosító Zrt.";"02/09/2010 00:00:00";"01/04/2018 00:00:00";"Váci út";"135-139";"1138";"Budapest";"";"www.viennalife.hu";"02/09/2010 00:00:00";"01/04/2018 00:00:00";
"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"Magyar Nemzeti Bank (MNB)";"HU";"12141843";"";"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"EEA FPS";"EE";"Vienna Life Vienna Insurance Group Biztosító Zrt.";"02/09/2010 00:00:00";"01/04/2018 00:00:00";"Váci út";"135-139";"1138";"Budapest";"";"www.viennalife.hu";"02/09/2010 00:00:00";"01/04/2018 00:00:00";
"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"Magyar Nemzeti Bank (MNB)";"HU";"12141843";"";"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"EEA FPS";"IT";"Vienna Life Vienna Insurance Group Biztosító Zrt.";"02/09/2010 00:00:00";"01/04/2018 00:00:00";"Váci út";"135-139";"1138";"Budapest";"";"www.viennalife.hu";"02/09/2010 00:00:00";"01/04/2018 00:00:00";
"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"Magyar Nemzeti Bank (MNB)";"HU";"12141843";"";"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"EEA FPS";"FR";"Vienna Life Vienna Insurance Group Biztosító Zrt.";"02/09/2010 00:00:00";"01/04/2018 00:00:00";"Váci út";"135-139";"1138";"Budapest";"";"www.viennalife.hu";"02/09/2010 00:00:00";"01/04/2018 00:00:00";
"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"Magyar Nemzeti Bank (MNB)";"HU";"12141843";"";"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"EEA FPS";"IE";"Vienna Life Vienna Insurance Group Biztosító Zrt.";"02/09/2010 00:00:00";"01/04/2018 00:00:00";"Váci út";"135-139";"1138";"Budapest";"";"www.viennalife.hu";"02/09/2010 00:00:00";"01/04/2018 00:00:00";
"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"Magyar Nemzeti Bank (MNB)";"HU";"12141843";"";"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"EEA FPS";"RO";"Vienna Life Vienna Insurance Group Biztosító Zrt.";"02/09/2010 00:00:00";"01/04/2018 00:00:00";"Váci út";"135-139";"1138";"Budapest";"";"www.viennalife.hu";"02/09/2010 00:00:00";"01/04/2018 00:00:00";
"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"Magyar Nemzeti Bank (MNB)";"HU";"12141843";"";"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"EEA FPS";"PL";"Vienna Life Vienna Insurance Group Biztosító Zrt.";"02/09/2010 00:00:00";"01/04/2018 00:00:00";"Váci út";"135-139";"1138";"Budapest";"";"www.viennalife.hu";"02/09/2010 00:00:00";"01/04/2018 00:00:00";
"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"Magyar Nemzeti Bank (MNB)";"HU";"12141843";"";"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"EEA FPS";"SI";"Vienna Life Vienna Insurance Group Biztosító Zrt.";"02/09/2010 00:00:00";"01/04/2018 00:00:00";"Váci út";"135-139";"1138";"Budapest";"";"www.viennalife.hu";"02/09/2010 00:00:00";"01/04/2018 00:00:00";
"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"Magyar Nemzeti Bank (MNB)";"HU";"12141843";"";"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"EEA FPS";"LU";"Vienna Life Vienna Insurance Group Biztosító Zrt.";"02/09/2010 00:00:00";"01/04/2018 00:00:00";"Váci út";"135-139";"1138";"Budapest";"";"www.viennalife.hu";"02/09/2010 00:00:00";"01/04/2018 00:00:00";
"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"Magyar Nemzeti Bank (MNB)";"HU";"12141843";"";"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"EEA FPS";"SK";"Vienna Life Vienna Insurance Group Biztosító Zrt.";"02/09/2010 00:00:00";"01/04/2018 00:00:00";"Váci út";"135-139";"1138";"Budapest";"";"www.viennalife.hu";"02/09/2010 00:00:00";"01/04/2018 00:00:00";
"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"Magyar Nemzeti Bank (MNB)";"HU";"12141843";"";"Vienna Life Vienna Insurance Group Biztosító Zártkörűen Működő Részvénytársaság";"EEA FPS";"NL";"Vienna Life Vienna Insurance Group Biztosító Zrt.";"02/09/2010 00:00:00";"01/04/2018 00:00:00";"Váci út";"135-139";"1138";"Budapest";"";"www.viennalife.hu";"02/09/2010 00:00:00";"01/04/2018 00:00:00";
"European Travel Insurance Company Limited";"Magyar Nemzeti Bank (MNB)";"HU";"12185960";"529900MLIDA51W4RTR25";"EURÓPAI UTAZÁSI Biztosító Zártkörűen Működő Részvénytársaság";"EEA FPS";"FR";"EURÓPAI UTAZÁSI Biztosító Zrt.";"31/07/2006 00:00:00";"";"Váci út";"36-38";"1132";"Budapest";"";"www.eub.hu";"31/07/2006 00:00:00";"";
"European Travel Insurance Company Limited";"Magyar Nemzeti Bank (MNB)";"HU";"12185960";"529900MLIDA51W4RTR25";"EURÓPAI UTAZÁSI Biztosító Zártkörűen Működő Részvénytársaság";"EEA FPS";"IT";"EURÓPAI UTAZÁSI Biztosító Zrt.";"31/07/2006 00:00:00";"31/12/2025 00:00:00";"Váci út";"36-38";"1132";"Budapest";"";"www.eub.hu";"31/07/2006 00:00:00";"31/12/2025 00:00:00";
"CIG Pannónia First Hungarian General Insurance Plc.";"Magyar Nemzeti Bank (MNB)";"HU";"14440306";"";"CIG Pannónia Első Magyar Általános Biztosító Zrt.";"EEA FPS";"DE";"CIG Pannónia Első Magyar Általános Biztosító Zrt.";"14/08/2008 00:00:00";"06/04/2020 00:00:00";"Flórián tér";"1";"1033";"Budapest";"";"www.cigpannonia.hu";"14/08/2008 00:00:00";"06/04/2020 00:00:00";
"European Travel Insurance Company Limited";"Magyar Nemzeti Bank (MNB)";"HU";"12185960";"529900MLIDA51W4RTR25";"EURÓPAI UTAZÁSI Biztosító Zártkörűen Működő Részvénytársaság";"EEA FPS";"SK";"EURÓPAI UTAZÁSI Biztosító Zrt.";"31/07/2006 00:00:00";"";"Váci út";"36-38";"1132";"Budapest";"";"www.eub.hu";"31/07/2006 00:00:00";"";
"CIG Pannónia First Hungarian General Insurance Plc.";"Magyar Nemzeti Bank (MNB)";"HU";"14440306";"";"CIG Pannónia Első Magyar Általános Biztosító Zrt.";"EEA FPS";"HR";"CIG Pannónia Első Magyar Általános Biztosító Zrt.";"14/08/2008 00:00:00";"06/04/2020 00:00:00";"Flórián tér";"1";"1033";"Budapest";"";"www.cigpannonia.hu";"14/08/2008 00:00:00";"06/04/2020 00:00:00";
"CIG Pannónia First Hungarian General Insurance Plc.";"Magyar Nemzeti Bank (MNB)";"HU";"14440306";"";"CIG Pannónia Első Magyar Általános Biztosító Zrt.";"EEA FPS";"LV";"CIG Pannónia Első Magyar Általános Biztosító Zrt.";"14/08/2008 00:00:00";"06/04/2020 00:00:00";"Flórián tér";"1";"1033";"Budapest";"";"www.cigpannonia.hu";"14/08/2008 00:00:00";"06/04/2020 00:00:00";
"CIG Pannonia Life Insurance Plc.";"Magyar Nemzeti Bank (MNB)";"HU";"14153730";"529900QYECVOWB4EMB78";"CIG Pannónia Életbiztosító Nyrt.";"EEA FPS";"RO";"CIG Pannónia Életbiztosító Nyrt.";"21/10/2011 00:00:00";"";"Flórián tér";"1";"1033";"Budapest";"";"www.cigpannonia.hu";"21/10/2011 00:00:00";"";
"CIG Pannónia First Hungarian General Insurance Plc.";"Magyar Nemzeti Bank (MNB)";"HU";"14440306";"";"CIG Pannónia Első Magyar Általános Biztosító Zrt.";"EEA FPS";"LT";"CIG Pannónia Első Magyar Általános Biztosító Zrt.";"14/08/2008 00:00:00";"06/04/2020 00:00:00";"Flórián tér";"1";"1033";"Budapest";"";"www.cigpannonia.hu";"14/08/2008 00:00:00";"06/04/2020 00:00:00";
"CIG Pannónia First Hungarian General Insurance Plc.";"Magyar Nemzeti Bank (MNB)";"HU";"14440306";"";"CIG Pannónia Első Magyar Általános Biztosító Zrt.";"EEA FPS";"EE";"CIG Pannónia Első Magyar Általános Biztosító Zrt.";"14/08/2008 00:00:00";"06/04/2020 00:00:00";"Flórián tér";"1";"1033";"Budapest";"";"www.cigpannonia.hu";"14/08/2008 00:00:00";"06/04/2020 00:00:00";
"CIG Pannónia First Hungarian General Insurance Plc.";"Magyar Nemzeti Bank (MNB)";"HU";"14440306";"529900G0AHNGAXME1752";"CIG Pannónia Első Magyar Általános Biztosító Zrt.";"EEA FPS";"IT";"CIG Pannónia Első Magyar Általános Biztosító Zrt.";"07/05/2014 00:00:00";"";"Flórián tér";"1";"1033";"Budapest";"";"www.cigpannonia.hu";"07/05/2014 00:00:00";"";
"CIG Pannónia First Hungarian General Insurance Plc.";"Magyar Nemzeti Bank (MNB)";"HU";"14440306";"529900G0AHNGAXME1752";"CIG Pannónia Első Magyar Általános Biztosító Zrt.";"EEA FPS";"PL";"CIG Pannónia Első Magyar Általános Biztosító Zrt.";"21/03/2012 00:00:00";"";"Flórián tér";"1";"1033";"Budapest";"";"www.cigpannonia.hu";"21/03/2012 00:00:00";"";
"Powszechny Zakład Ubezpieczeń Spółka Akcyjna";"Komisja Nadzoru Finansowego (KNF)";"PL";"6";"QLPCKOOKVX32FUELX240";"Powszechny Zakład Ubezpieczeń Spółka Akcyjna";"EEA FPS";"BG";"Powszechny Zakład Ubezpieczeń Spółka Akcyjna";"09/05/2007 00:00:00";"";"Rondo Ignacego Daszyńskiego";"4";"00-843";"Warszawa";"PL";"www.pzu.pl";"";"";
"Powszechny Zakład Ubezpieczeń Spółka Akcyjna";"Komisja Nadzoru Finansowego (KNF)";"PL";"6";"QLPCKOOKVX32FUELX240";"Powszechny Zakład Ubezpieczeń Spółka Akcyjna";"EEA FPS";"AT";"Powszechny Zakład Ubezpieczeń Spółka Akcyjna";"09/05/2007 00:00:00";"";"Rondo Ignacego Daszyńskiego";"4";"00-843";"Warszawa";"PL";"www.pzu.pl";"";"";
"Compensa Towarzystwo Ubezpieczeń Spółka Akcyjna Vienna Insurance Group";"Komisja Nadzoru Finansowego (KNF)";"PL";"8";"259400LUPWM9VS8E5M86";"Compensa Towarzystwo Ubezpieczeń Spółka Akcyjna Vienna Insurance Group";"EEA FPS";"HU";"Compensa Towarzystwo Ubezpieczeń Spółka Akcyjna Vienna Insurance Group";"22/08/2011 00:00:00";"";"Al. Jerozolimskie";"162";"02-342";"Warszawa";"PL";"www.compensa.pl";"";"";
"Compensa Towarzystwo Ubezpieczeń Spółka Akcyjna Vienna Insurance Group";"Komisja Nadzoru Finansowego (KNF)";"PL";"8";"259400LUPWM9VS8E5M86";"Compensa Towarzystwo Ubezpieczeń Spółka Akcyjna Vienna Insurance Group";"EEA FPS";"RO";"Compensa Towarzystwo Ubezpieczeń Spółka Akcyjna Vienna Insurance Group";"22/08/2011 00:00:00";"";"Al. Jerozolimskie";"162";"02-342";"Warszawa";"PL";"www.compensa.pl";"";"";
"Compensa Towarzystwo Ubezpieczeń Spółka Akcyjna Vienna Insurance Group";"Komisja Nadzoru Finansowego (KNF)";"PL";"8";"259400LUPWM9VS8E5M86";"Compensa Towarzystwo Ubezpieczeń Spółka Akcyjna Vienna Insurance Group";"EEA FPS";"SK";"Compensa Towarzystwo Ubezpieczeń Spółka Akcyjna Vienna Insurance Group";"27/10/2010 00:00:00";"";"Al. Jerozolimskie";"162";"02-342";"Warszawa";"PL";"www.compensa.pl";"";"";
"Compensa Towarzystwo Ubezpieczeń Spółka Akcyjna Vienna Insurance Group";"Komisja Nadzoru Finansowego (KNF)";"PL";"8";"259400LUPWM9VS8E5M86";"Compensa Towarzystwo Ubezpieczeń Spółka Akcyjna Vienna Insurance Group";"EEA branch";"EE";"Compensa Towarzystwo Ubezpieczeń Spółka Akcyjna Vienna Insurance Group";"25/07/2014 00:00:00";"16/02/2015 00:00:00";"Al. Jerozolimskie";"162";"02-342";"Warszawa";"PL";"www.compensa.pl";"";"16/02/2015 00:00:00";
"Compensa Towarzystwo Ubezpieczeń Spółka Akcyjna Vienna Insurance Group";"Komisja Nadzoru Finansowego (KNF)";"PL";"8";"259400LUPWM9VS8E5M86";"Compensa Towarzystwo Ubezpieczeń Spółka Akcyjna Vienna Insurance Group";"EEA FPS";"CZ";"Compensa Towarzystwo Ubezpieczeń Spółka Akcyjna Vienna Insurance Group";"27/10/2010 00:00:00";"";"Al. Jerozolimskie";"162";"02-342";"Warszawa";"PL";"www.compensa.pl";"";"";
"Compensa Towarzystwo Ubezpieczeń Spółka Akcyjna Vienna Insurance Group";"Komisja Nadzoru Finansowego (KNF)";"PL";"8";"259400LUPWM9VS8E5M86";"Compensa Towarzystwo Ubezpieczeń Spółka Akcyjna Vienna Insurance Group";"EEA branch";"LV";"Compensa Towarzystwo Ubezpieczeń Spółka Akcyjna Vienna Insurance Group";"30/04/2012 00:00:00";"10/07/2016 00:00:00";"Al. Jerozolimskie";"162";"02-342";"Warszawa";"PL";"www.compensa.pl";"";"10/07/2016 00:00:00";
"Compensa Towarzystwo Ubezpieczeń Spółka Akcyjna Vienna Insurance Group";"Komisja Nadzoru Finansowego (KNF)";"PL";"8";"259400LUPWM9VS8E5M86";"Compensa Towarzystwo Ubezpieczeń Spółka Akcyjna Vienna Insurance Group";"EEA branch";"LT";"Compensa Towarzystwo Ubezpieczeń Spółka Akcyjna Vienna Insurance Group";"20/11/2009 00:00:00";"09/07/2016 00:00:00";"Al. Jerozolimskie";"162";"02-342";"Warszawa";"PL";"www.compensa.pl";"";"09/07/2016 00:00:00";
