"International Name";"Name of NCA";"Home Country";"Identification code";"LEI";"Official name of the entity";"Cross border status";"EU Country where the entity operates";"Local/Commercial name";"Registration start date";"Registration end date";"Street Name";"Street Number";"Post Code";"City";"County";"Website address";"Operation Start Date";"Operation End Date";
"FM INSURANCE EUROPE S.A.";"Commissariat aux Assurances (CAA)";"LU";"AFMINSFR";"222100GPK3TXH3YGOB37";"FM INSURANCE EUROPE S.A.";"FPS for EEA Branches";"PL";"";"22/12/2017 00:00:00";"";"Coeur defense, 110 esplanade du Général de Gaulle";"";"92931";"PARIS";"";"";"22/12/2017 00:00:00";"";
"FM INSURANCE EUROPE S.A.";"Commissariat aux Assurances (CAA)";"LU";"AFMINSIT";"222100GPK3TXH3YGOB37";"FM INSURANCE EUROPE S.A.";"FPS for EEA Branches";"PL";"";"22/12/2017 00:00:00";"";"Via Mike Bongiorno, 13";"";"20124";"MILANO";"";"";"22/12/2017 00:00:00";"";
"FM INSURANCE EUROPE S.A.";"Commissariat aux Assurances (CAA)";"LU";"AFMINSFR";"222100GPK3TXH3YGOB37";"FM INSURANCE EUROPE S.A.";"FPS for EEA Branches";"SE";"";"22/12/2017 00:00:00";"";"Coeur defense, 110 esplanade du Général de Gaulle";"";"92931";"PARIS";"";"";"22/12/2017 00:00:00";"";
"FM INSURANCE EUROPE S.A.";"Commissariat aux Assurances (CAA)";"LU";"AFMINSIT";"222100GPK3TXH3YGOB37";"FM INSURANCE EUROPE S.A.";"FPS for EEA Branches";"RO";"";"22/12/2017 00:00:00";"";"Via Mike Bongiorno, 13";"";"20124";"MILANO";"";"";"22/12/2017 00:00:00";"";
"FM INSURANCE EUROPE S.A.";"Commissariat aux Assurances (CAA)";"LU";"AFMINSFR";"222100GPK3TXH3YGOB37";"FM INSURANCE EUROPE S.A.";"FPS for EEA Branches";"SI";"";"22/12/2017 00:00:00";"";"Coeur defense, 110 esplanade du Général de Gaulle";"";"92931";"PARIS";"";"";"22/12/2017 00:00:00";"";
"FM INSURANCE EUROPE S.A.";"Commissariat aux Assurances (CAA)";"LU";"AFMINSIT";"222100GPK3TXH3YGOB37";"FM INSURANCE EUROPE S.A.";"FPS for EEA Branches";"SI";"";"22/12/2017 00:00:00";"";"Via Mike Bongiorno, 13";"";"20124";"MILANO";"";"";"22/12/2017 00:00:00";"";
"FM INSURANCE EUROPE S.A.";"Commissariat aux Assurances (CAA)";"LU";"AFMINSNL";"222100GPK3TXH3YGOB37";"FM INSURANCE EUROPE S.A.";"FPS for EEA Branches";"AT";"";"22/12/2017 00:00:00";"";"150 Antonio Vivaldistraat - Cross Towers";"";"1083 HP";"AMSTERDAM";"";"";"22/12/2017 00:00:00";"";
"FM INSURANCE EUROPE S.A.";"Commissariat aux Assurances (CAA)";"LU";"AFMINSIT";"222100GPK3TXH3YGOB37";"FM INSURANCE EUROPE S.A.";"FPS for EEA Branches";"BG";"";"22/12/2017 00:00:00";"";"Via Mike Bongiorno, 13";"";"20124";"MILANO";"";"";"22/12/2017 00:00:00";"";
"FM INSURANCE EUROPE S.A.";"Commissariat aux Assurances (CAA)";"LU";"AFMINSIT";"222100GPK3TXH3YGOB37";"FM INSURANCE EUROPE S.A.";"FPS for EEA Branches";"AT";"";"22/12/2017 00:00:00";"";"Via Mike Bongiorno, 13";"";"20124";"MILANO";"";"";"22/12/2017 00:00:00";"";
"FM INSURANCE EUROPE S.A.";"Commissariat aux Assurances (CAA)";"LU";"AFMINSNL";"222100GPK3TXH3YGOB37";"FM INSURANCE EUROPE S.A.";"FPS for EEA Branches";"BG";"";"22/12/2017 00:00:00";"";"150 Antonio Vivaldistraat - Cross Towers";"";"1083 HP";"AMSTERDAM";"";"";"22/12/2017 00:00:00";"";
